"Date","Price","Open","High","Low","Change %"
"Jan 04, 2024","7.376","7.376","7.376","7.376","0.09%"
"Jan 03, 2024","7.369","7.369","7.369","7.369","-0.08%"
"Jan 02, 2024","7.375","7.375","7.375","7.375","0.18%"
"Jan 01, 2024","7.362","7.365","7.365","7.362","0.40%"
"Dec 29, 2023","7.333","7.350","7.350","7.321","-0.31%"
"Dec 28, 2023","7.356","7.356","7.356","7.351","0.14%"
"Dec 27, 2023","7.346","7.346","7.346","7.346","0.01%"
"Dec 26, 2023","7.345","7.345","7.345","7.345","-0.01%"
"Dec 22, 2023","7.346","7.346","7.346","7.346","-0.01%"
"Dec 21, 2023","7.347","7.347","7.347","7.347","0.29%"
"Dec 20, 2023","7.326","7.327","7.327","7.326","-0.05%"
"Dec 19, 2023","7.330","7.330","7.330","7.330","0.00%"
"Dec 18, 2023","7.330","7.330","7.330","7.330","0.21%"
"Dec 15, 2023","7.315","7.315","7.315","7.315","-0.42%"
"Dec 14, 2023","7.346","7.407","7.407","7.346","-0.57%"
"Dec 13, 2023","7.388","7.407","7.407","7.388","-0.38%"
"Dec 12, 2023","7.416","7.407","7.416","7.407","-0.07%"
"Dec 11, 2023","7.421","7.421","7.421","7.421","0.20%"
"Dec 08, 2023","7.406","7.406","7.406","7.406","0.33%"
"Dec 07, 2023","7.382","7.382","7.382","7.382","-0.09%"
"Dec 06, 2023","7.389","7.389","7.389","7.389","-0.40%"
"Dec 05, 2023","7.419","7.419","7.419","7.419","-0.12%"
"Dec 04, 2023","7.428","7.428","7.428","7.428","-0.46%"
"Dec 01, 2023","7.462","7.462","7.462","7.462","0.39%"
"Nov 30, 2023","7.433","7.433","7.433","7.433","0.26%"
"Nov 29, 2023","7.414","7.414","7.414","7.414","-0.19%"
"Nov 28, 2023","7.428","7.428","7.428","7.428","0.23%"
"Nov 24, 2023","7.411","7.411","7.411","7.411","0.34%"
"Nov 23, 2023","7.386","7.386","7.386","7.386","0.07%"
"Nov 22, 2023","7.381","7.381","7.381","7.381","-0.15%"
"Nov 21, 2023","7.392","7.392","7.392","7.392","-0.05%"
"Nov 20, 2023","7.396","7.396","7.396","7.396","0.56%"
"Nov 17, 2023","7.355","7.355","7.355","7.355","-0.23%"
"Nov 16, 2023","7.372","7.372","7.372","7.372","0.01%"
"Nov 15, 2023","7.371","7.371","7.371","7.371","-0.78%"
"Nov 13, 2023","7.429","7.429","7.429","7.429","-0.13%"
"Nov 10, 2023","7.439","7.439","7.439","7.439","0.42%"
"Nov 09, 2023","7.408","7.408","7.408","7.408","-0.12%"
"Nov 08, 2023","7.417","7.417","7.417","7.417","0.00%"
"Nov 07, 2023","7.417","7.417","7.417","7.417","-0.19%"
"Nov 06, 2023","7.431","7.431","7.431","7.431","-0.12%"
"Nov 03, 2023","7.440","7.440","7.440","7.440","-0.28%"
"Nov 02, 2023","7.461","7.461","7.461","7.461","-0.35%"
"Nov 01, 2023","7.487","7.487","7.487","7.487","-0.13%"
"Oct 31, 2023","7.497","7.497","7.497","7.497","-0.12%"
"Oct 30, 2023","7.506","7.506","7.506","7.506","0.33%"
"Oct 27, 2023","7.481","7.481","7.481","7.481","-0.31%"
"Oct 26, 2023","7.504","7.504","7.504","7.504","0.64%"
"Oct 25, 2023","7.456","7.456","7.456","7.456","-0.47%"
"Oct 23, 2023","7.491","7.491","7.491","7.491","0.11%"
"Oct 20, 2023","7.483","7.483","7.483","7.483","-0.21%"
"Oct 19, 2023","7.499","7.499","7.499","7.499","0.20%"
"Oct 18, 2023","7.484","7.484","7.484","7.484","0.31%"
"Oct 17, 2023","7.461","7.461","7.461","7.461","-0.13%"
"Oct 16, 2023","7.471","7.471","7.471","7.471","0.16%"
"Oct 13, 2023","7.459","7.459","7.459","7.459","0.13%"
"Oct 12, 2023","7.449","7.449","7.449","7.449","0.12%"
"Oct 11, 2023","7.440","7.440","7.440","7.440","-0.45%"
"Oct 10, 2023","7.474","7.474","7.474","7.474","-0.29%"
"Oct 09, 2023","7.496","7.496","7.496","7.496","0.48%"
"Oct 06, 2023","7.460","7.460","7.460","7.460","1.47%"
"Oct 05, 2023","7.352","7.352","7.352","7.352","-0.35%"
"Oct 04, 2023","7.378","7.378","7.378","7.378","0.11%"
"Oct 03, 2023","7.370","7.370","7.370","7.370","0.48%"
"Sep 29, 2023","7.335","7.335","7.335","7.335","-0.19%"
"Sep 28, 2023","7.349","7.349","7.349","7.349","0.89%"
"Sep 27, 2023","7.284","7.284","7.284","7.284","0.03%"
"Sep 26, 2023","7.282","7.282","7.282","7.282","0.33%"
"Sep 25, 2023","7.258","7.258","7.258","7.258","0.07%"
"Sep 22, 2023","7.253","7.253","7.253","7.253","0.21%"
"Sep 21, 2023","7.238","7.238","7.238","7.238","-0.40%"
"Sep 20, 2023","7.267","7.267","7.267","7.267","-0.04%"
"Sep 18, 2023","7.270","7.270","7.270","7.270","0.46%"
"Sep 15, 2023","7.237","7.237","7.237","7.237","0.04%"
"Sep 14, 2023","7.234","7.234","7.234","7.234","-0.33%"
"Sep 13, 2023","7.258","7.258","7.258","7.258","-0.36%"
"Sep 12, 2023","7.284","7.284","7.284","7.284","-0.07%"
"Sep 11, 2023","7.289","7.289","7.289","7.289","0.40%"
"Sep 08, 2023","7.260","7.260","7.260","7.260","0.29%"
"Sep 07, 2023","7.239","7.239","7.239","7.239","-0.37%"
"Sep 06, 2023","7.266","7.266","7.266","7.266","0.06%"
"Sep 05, 2023","7.262","7.262","7.262","7.262","-0.11%"
"Sep 04, 2023","7.270","7.270","7.270","7.270","0.33%"
"Sep 01, 2023","7.246","7.246","7.246","7.246","-0.17%"
"Aug 31, 2023","7.258","7.258","7.258","7.258","-0.33%"
"Aug 30, 2023","7.282","7.282","7.282","7.282","0.03%"
"Aug 29, 2023","7.280","7.280","7.280","7.280","-0.10%"
"Aug 28, 2023","7.287","7.287","7.287","7.287","-0.10%"
"Aug 25, 2023","7.294","7.294","7.294","7.294","0.08%"
"Aug 24, 2023","7.288","7.288","7.288","7.288","-0.31%"
"Aug 23, 2023","7.311","7.311","7.311","7.311","-0.33%"
"Aug 22, 2023","7.335","7.335","7.335","7.335","-0.24%"
"Aug 21, 2023","7.353","7.353","7.353","7.353","-0.12%"
"Aug 18, 2023","7.362","7.362","7.362","7.362","-0.26%"
"Aug 17, 2023","7.381","7.381","7.381","7.381","0.71%"
"Aug 14, 2023","7.329","7.329","7.329","7.329","0.01%"
"Aug 11, 2023","7.328","7.328","7.328","7.328","0.38%"
"Aug 10, 2023","7.300","7.300","7.300","7.300","-0.21%"
"Aug 09, 2023","7.315","7.315","7.315","7.315","-0.08%"
"Aug 08, 2023","7.321","7.321","7.321","7.321","-0.20%"
"Aug 07, 2023","7.336","7.336","7.336","7.336","-0.05%"
"Aug 04, 2023","7.340","7.340","7.340","7.340","0.10%"
"Aug 03, 2023","7.333","7.333","7.333","7.333","0.49%"
"Aug 02, 2023","7.297","7.297","7.297","7.297","0.05%"
"Aug 01, 2023","7.293","7.293","7.293","7.293","-0.22%"
"Jul 31, 2023","7.309","7.309","7.309","7.309","0.05%"
"Jul 28, 2023","7.305","7.305","7.305","7.305","0.65%"
"Jul 27, 2023","7.258","7.258","7.258","7.258","0.21%"
"Jul 26, 2023","7.243","7.243","7.243","7.243","-0.11%"
"Jul 25, 2023","7.251","7.251","7.251","7.251","0.19%"
"Jul 24, 2023","7.237","7.237","7.237","7.237","0.11%"
"Jul 21, 2023","7.229","7.229","7.229","7.229","-0.08%"
"Jul 20, 2023","7.235","7.235","7.235","7.235","0.07%"
"Jul 19, 2023","7.230","7.230","7.230","7.230","0.11%"
"Jul 18, 2023","7.222","7.222","7.222","7.222","0.14%"
"Jul 17, 2023","7.212","7.212","7.212","7.212","-0.14%"
"Jul 14, 2023","7.222","7.266","7.266","7.222","0.15%"
"Jul 13, 2023","7.211","7.211","7.211","7.211","-0.57%"
"Jul 12, 2023","7.252","7.252","7.252","7.252","0.12%"
"Jul 11, 2023","7.243","7.243","7.243","7.243","-0.63%"
"Jul 10, 2023","7.289","7.289","7.289","7.289","-0.03%"
"Jul 07, 2023","7.291","7.308","7.308","7.291","0.11%"
"Jul 06, 2023","7.283","7.302","7.316","7.283","0.34%"
"Jul 05, 2023","7.258","7.266","7.266","7.258","-0.12%"
"Jul 04, 2023","7.267","7.260","7.267","7.252","0.36%"
"Jul 03, 2023","7.241","7.241","7.241","7.241","-0.08%"
"Jun 30, 2023","7.247","7.247","7.247","7.247","0.60%"
"Jun 28, 2023","7.204","7.242","7.251","7.204","-0.15%"
"Jun 27, 2023","7.215","7.289","7.289","7.215","-0.04%"
"Jun 26, 2023","7.218","7.257","7.257","7.218","0.15%"
"Jun 23, 2023","7.207","7.249","7.249","7.207","0.39%"
"Jun 22, 2023","7.179","7.179","7.179","7.179","0.35%"
"Jun 21, 2023","7.154","7.154","7.154","7.154","0.07%"
"Jun 20, 2023","7.149","7.149","7.149","7.149","0.11%"
"Jun 19, 2023","7.141","7.141","7.141","7.141","0.04%"
"Jun 16, 2023","7.138","7.138","7.138","7.138","0.42%"
"Jun 15, 2023","7.108","7.108","7.108","7.108","0.18%"
"Jun 14, 2023","7.095","7.095","7.095","7.095","0.13%"
"Jun 13, 2023","7.086","7.086","7.086","7.086","-0.37%"
"Jun 12, 2023","7.112","7.112","7.112","7.112","-0.13%"
"Jun 09, 2023","7.121","7.121","7.121","7.121","0.06%"
"Jun 08, 2023","7.117","7.117","7.117","7.117","0.20%"
"Jun 07, 2023","7.103","7.103","7.103","7.103","-0.04%"
"Jun 06, 2023","7.106","7.080","7.106","7.080","0.11%"
"Jun 05, 2023","7.098","7.098","7.098","7.098","0.25%"
"Jun 02, 2023","7.080","7.080","7.080","7.080","-0.17%"
"Jun 01, 2023","7.092","7.092","7.092","7.092","-0.08%"
"May 31, 2023","7.098","7.098","7.098","7.098","-0.06%"
"May 30, 2023","7.102","7.102","7.102","7.102","-0.08%"
"May 29, 2023","7.108","7.108","7.108","7.108","0.15%"
"May 26, 2023","7.097","7.112","7.112","7.089","-0.06%"
"May 25, 2023","7.101","7.096","7.101","7.090","-0.06%"
"May 24, 2023","7.105","7.128","7.128","7.090","-0.11%"
"May 23, 2023","7.113","7.113","7.113","7.113","0.17%"
"May 22, 2023","7.101","7.101","7.101","7.101","-0.11%"
"May 19, 2023","7.109","7.109","7.109","7.109","0.13%"
"May 18, 2023","7.100","7.100","7.100","7.100","0.10%"
"May 17, 2023","7.093","7.093","7.093","7.093","-0.21%"
"May 16, 2023","7.108","7.108","7.108","7.108","-0.20%"
"May 15, 2023","7.122","7.122","7.122","7.122","-0.21%"
"May 12, 2023","7.137","7.137","7.137","7.137","-0.32%"
"May 11, 2023","7.160","7.177","7.177","7.160","-0.07%"
"May 10, 2023","7.165","7.165","7.165","7.165","-0.04%"
"May 09, 2023","7.168","7.180","7.180","7.168","0.00%"
"May 08, 2023","7.168","7.168","7.168","7.168","0.28%"
"May 04, 2023","7.148","7.163","7.163","7.148","-0.11%"
"May 03, 2023","7.156","7.193","7.193","7.149","-0.79%"
"May 02, 2023","7.213","7.273","7.273","7.213","-0.07%"
"Apr 28, 2023","7.218","7.218","7.218","7.218","0.07%"
"Apr 27, 2023","7.213","7.213","7.213","7.213","0.19%"
"Apr 26, 2023","7.199","7.259","7.259","7.199","-0.43%"
"Apr 25, 2023","7.230","7.271","7.271","7.230","-1.32%"
"Apr 24, 2023","7.327","7.327","7.327","7.327","-0.72%"
"Apr 21, 2023","7.380","7.331","7.380","7.331","0.67%"
"Apr 20, 2023","7.331","7.331","7.331","7.331","0.05%"
