"Date","Price","Open","High","Low","Change %"
"Jan 04, 2024","7.250","7.249","7.255","7.240","0.17%"
"Jan 03, 2024","7.238","7.251","7.257","7.230","0.01%"
"Jan 02, 2024","7.237","7.259","7.259","7.237","0.08%"
"Jan 01, 2024","7.231","7.228","7.251","7.228","0.58%"
"Dec 29, 2023","7.189","7.273","7.273","7.189","-0.70%"
"Dec 28, 2023","7.240","7.257","7.258","7.236","0.18%"
"Dec 27, 2023","7.227","7.236","7.258","7.220","0.15%"
"Dec 26, 2023","7.216","7.258","7.258","7.216","-0.08%"
"Dec 22, 2023","7.222","7.243","7.243","7.220","-0.01%"
"Dec 21, 2023","7.223","7.208","7.228","7.198","0.21%"
"Dec 20, 2023","7.208","7.228","7.228","7.204","-0.04%"
"Dec 19, 2023","7.211","7.220","7.226","7.196","0.17%"
"Dec 18, 2023","7.199","7.228","7.228","7.197","-0.14%"
"Dec 15, 2023","7.209","7.253","7.273","7.204","-0.43%"
"Dec 14, 2023","7.240","7.273","7.273","7.232","-0.89%"
"Dec 13, 2023","7.305","7.334","7.334","7.305","-0.22%"
"Dec 12, 2023","7.321","7.349","7.349","7.313","-0.05%"
"Dec 11, 2023","7.325","7.346","7.346","7.319","0.12%"
"Dec 08, 2023","7.316","7.307","7.395","7.279","0.43%"
"Dec 07, 2023","7.285","7.288","7.294","7.284","-0.07%"
"Dec 06, 2023","7.290","7.312","7.312","7.289","-0.31%"
"Dec 05, 2023","7.313","7.326","7.326","7.305","0.00%"
"Dec 04, 2023","7.313","7.334","7.334","7.311","-0.34%"
"Dec 01, 2023","7.338","7.349","7.349","7.331","0.18%"
"Nov 30, 2023","7.325","7.315","7.337","7.302","0.40%"
"Nov 29, 2023","7.296","7.303","7.303","7.288","-0.30%"
"Nov 28, 2023","7.318","7.349","7.349","7.299","0.03%"
"Nov 24, 2023","7.316","7.318","7.332","7.308","0.33%"
"Nov 23, 2023","7.292","7.348","7.348","7.285","-0.07%"
"Nov 22, 2023","7.297","7.327","7.332","7.295","-0.29%"
"Nov 21, 2023","7.318","7.295","7.323","7.288","0.52%"
"Nov 20, 2023","7.280","7.303","7.318","7.278","0.25%"
"Nov 17, 2023","7.262","7.285","7.285","7.255","-0.15%"
"Nov 16, 2023","7.273","7.288","7.294","7.270","-0.03%"
"Nov 15, 2023","7.275","7.318","7.318","7.271","-0.78%"
"Nov 13, 2023","7.332","7.378","7.378","7.328","-0.01%"
"Nov 10, 2023","7.333","7.376","7.376","7.333","0.33%"
"Nov 09, 2023","7.309","7.303","7.326","7.294","0.03%"
"Nov 08, 2023","7.307","7.324","7.347","7.301","-0.25%"
"Nov 07, 2023","7.325","7.363","7.363","7.324","-0.30%"
"Nov 06, 2023","7.347","7.348","7.352","7.340","-0.16%"
"Nov 03, 2023","7.359","7.378","7.378","7.355","-0.12%"
"Nov 02, 2023","7.368","7.397","7.397","7.366","-0.46%"
"Nov 01, 2023","7.402","7.409","7.409","7.396","0.12%"
"Oct 31, 2023","7.393","7.407","7.408","7.389","-0.23%"
"Oct 30, 2023","7.410","7.401","7.416","7.399","0.18%"
"Oct 27, 2023","7.397","7.401","7.401","7.384","-0.12%"
