"Date","Price","Open","High","Low","Change %"
"Jan 04, 2024","7.119","7.159","7.159","7.109","0.03%"
"Jan 03, 2024","7.117","7.122","7.131","7.096","0.00%"
"Jan 02, 2024","7.117","7.132","7.132","7.112","0.17%"
"Jan 01, 2024","7.105","7.123","7.123","7.105","0.17%"
"Dec 29, 2023","7.093","7.122","7.122","7.091","-0.42%"
"Dec 28, 2023","7.123","7.123","7.135","7.117","0.24%"
"Dec 27, 2023","7.106","7.114","7.121","7.103","0.06%"
"Dec 26, 2023","7.102","7.114","7.114","7.094","0.01%"
"Dec 22, 2023","7.101","7.123","7.123","7.101","0.04%"
"Dec 21, 2023","7.098","7.087","7.109","7.078","0.03%"
"Dec 20, 2023","7.096","7.105","7.105","7.087","0.16%"
"Dec 19, 2023","7.085","7.124","7.124","7.078","0.16%"
"Dec 18, 2023","7.074","7.142","7.142","7.065","0.10%"
"Dec 15, 2023","7.067","7.142","7.142","7.060","-0.74%"
"Dec 14, 2023","7.120","7.188","7.188","7.117","-1.36%"
"Dec 13, 2023","7.218","7.226","7.231","7.218","-0.22%"
"Dec 12, 2023","7.234","7.233","7.239","7.228","0.01%"
"Dec 11, 2023","7.233","7.244","7.244","7.232","-0.01%"
"Dec 08, 2023","7.234","7.208","7.273","7.195","0.57%"
"Dec 07, 2023","7.193","7.196","7.208","7.193","-0.11%"
"Dec 06, 2023","7.201","7.227","7.227","7.199","-0.11%"
"Dec 05, 2023","7.209","7.236","7.236","7.209","-0.18%"
"Dec 04, 2023","7.222","7.254","7.254","7.222","-0.19%"
"Dec 01, 2023","7.236","7.254","7.254","7.236","-0.92%"
"Nov 30, 2023","7.303","7.373","7.373","7.303","0.26%"
"Nov 29, 2023","7.284","7.284","7.284","7.284","-0.14%"
"Nov 28, 2023","7.294","7.294","7.294","7.294","-0.05%"
"Nov 24, 2023","7.298","7.298","7.298","7.298","0.21%"
"Nov 23, 2023","7.283","7.283","7.283","7.283","-0.04%"
"Nov 22, 2023","7.286","7.286","7.286","7.286","-0.12%"
"Nov 21, 2023","7.295","7.295","7.295","7.295","0.04%"
"Nov 20, 2023","7.292","7.292","7.292","7.292","0.54%"
"Nov 17, 2023","7.253","7.253","7.253","7.253","-0.19%"
"Nov 16, 2023","7.267","7.267","7.267","7.267","-0.01%"
"Nov 15, 2023","7.268","7.268","7.268","7.268","-0.81%"
"Nov 13, 2023","7.327","7.327","7.327","7.327","-0.26%"
"Nov 10, 2023","7.346","7.346","7.346","7.346","0.26%"
"Nov 09, 2023","7.327","7.327","7.327","7.327","0.00%"
"Nov 08, 2023","7.327","7.327","7.327","7.327","-0.12%"
"Nov 07, 2023","7.336","7.336","7.336","7.336","-0.30%"
"Nov 06, 2023","7.358","7.358","7.358","7.358","-0.20%"
"Nov 03, 2023","7.373","7.373","7.373","7.373","-0.16%"
"Nov 02, 2023","7.385","7.385","7.385","7.385","-0.54%"
"Nov 01, 2023","7.425","7.469","7.469","7.425","0.49%"
"Oct 31, 2023","7.389","7.466","7.466","7.386","-0.22%"
"Oct 30, 2023","7.405","7.466","7.466","7.397","0.22%"
"Oct 27, 2023","7.389","7.410","7.410","7.382","-0.20%"
"Oct 26, 2023","7.404","7.432","7.432","7.400","0.26%"
"Oct 25, 2023","7.385","7.406","7.406","7.384","-0.57%"
"Oct 23, 2023","7.427","7.466","7.466","7.412","0.26%"
"Oct 20, 2023","7.408","7.446","7.446","7.396","-0.13%"
"Oct 19, 2023","7.418","7.466","7.466","7.413","0.20%"
"Oct 18, 2023","7.403","7.410","7.410","7.389","0.24%"
"Oct 17, 2023","7.385","7.436","7.436","7.371","-0.09%"
"Oct 16, 2023","7.392","7.416","7.422","7.390","0.08%"
"Oct 13, 2023","7.386","7.408","7.447","7.374","0.19%"
"Oct 12, 2023","7.372","7.386","7.390","7.372","-0.01%"
"Oct 11, 2023","7.373","7.444","7.444","7.373","-0.65%"
"Oct 10, 2023","7.421","7.460","7.460","7.421","-0.31%"
"Oct 09, 2023","7.444","7.464","7.464","7.411","0.68%"
"Oct 06, 2023","7.394","7.277","7.405","7.277","1.93%"
"Oct 05, 2023","7.254","7.238","7.311","7.238","-0.34%"
"Oct 04, 2023","7.279","7.304","7.306","7.271","0.14%"
"Oct 03, 2023","7.269","7.306","7.306","7.262","0.30%"
"Sep 29, 2023","7.247","7.259","7.259","7.235","-0.28%"
"Sep 28, 2023","7.267","7.227","7.277","7.186","0.96%"
"Sep 27, 2023","7.198","7.198","7.198","7.198","0.25%"
"Sep 26, 2023","7.180","7.227","7.227","7.180","-0.06%"
"Sep 25, 2023","7.184","7.198","7.198","7.173","-0.03%"
"Sep 22, 2023","7.186","7.111","7.200","7.111","0.46%"
"Sep 21, 2023","7.153","7.265","7.265","7.153","-0.31%"
"Sep 20, 2023","7.175","7.254","7.254","7.174","-0.03%"
"Sep 18, 2023","7.177","7.227","7.227","7.168","-0.04%"
"Sep 15, 2023","7.180","7.188","7.192","7.134","0.81%"
"Sep 14, 2023","7.122","7.197","7.197","7.118","-0.90%"
"Sep 13, 2023","7.187","7.226","7.226","7.187","-0.66%"
"Sep 12, 2023","7.235","7.249","7.259","7.232","0.00%"
"Sep 11, 2023","7.235","7.245","7.253","7.216","0.49%"
"Sep 08, 2023","7.200","7.187","7.258","7.180","0.42%"
"Sep 07, 2023","7.170","7.205","7.258","7.168","-0.36%"
"Sep 06, 2023","7.196","7.226","7.226","7.195","0.11%"
"Sep 05, 2023","7.188","7.245","7.245","7.187","0.04%"
"Sep 04, 2023","7.185","7.206","7.206","7.177","0.18%"
"Sep 01, 2023","7.172","7.195","7.195","7.170","0.00%"
"Aug 31, 2023","7.172","7.183","7.196","7.172","0.06%"
"Aug 30, 2023","7.168","7.168","7.200","7.158","-0.01%"
"Aug 29, 2023","7.169","7.206","7.206","7.169","-0.10%"
"Aug 28, 2023","7.176","7.245","7.245","7.176","-0.42%"
"Aug 25, 2023","7.206","7.229","7.229","7.200","0.18%"
"Aug 24, 2023","7.193","7.215","7.215","7.180","-0.03%"
"Aug 23, 2023","7.195","7.229","7.229","7.194","-0.26%"
"Aug 22, 2023","7.214","7.240","7.243","7.214","-0.07%"
"Aug 21, 2023","7.219","7.244","7.244","7.215","-0.01%"
"Aug 18, 2023","7.220","7.283","7.283","7.214","-0.63%"
"Aug 17, 2023","7.266","7.272","7.272","7.250","0.86%"
"Aug 14, 2023","7.204","7.282","7.282","7.204","0.14%"
"Aug 11, 2023","7.194","7.243","7.243","7.194","0.38%"
"Aug 10, 2023","7.167","7.186","7.261","7.163","-0.14%"
"Aug 09, 2023","7.177","7.186","7.205","7.171","0.11%"
"Aug 08, 2023","7.169","7.205","7.205","7.169","-0.44%"
"Aug 07, 2023","7.201","7.205","7.215","7.167","0.14%"
"Aug 04, 2023","7.191","7.211","7.253","7.191","-0.11%"
"Aug 03, 2023","7.199","7.205","7.220","7.182","0.57%"
"Aug 02, 2023","7.158","7.224","7.224","7.156","0.11%"
"Aug 01, 2023","7.150","7.186","7.186","7.150","-0.36%"
"Jul 31, 2023","7.176","7.177","7.190","7.168","0.24%"
"Jul 28, 2023","7.159","7.161","7.177","7.158","0.72%"
"Jul 27, 2023","7.108","7.109","7.125","7.091","0.11%"
"Jul 26, 2023","7.100","7.120","7.120","7.096","-0.10%"
"Jul 25, 2023","7.107","7.119","7.119","7.099","0.37%"
"Jul 24, 2023","7.081","7.108","7.108","7.077","-0.16%"
"Jul 21, 2023","7.092","7.108","7.108","7.091","0.24%"
"Jul 20, 2023","7.075","7.100","7.100","7.074","0.08%"
"Jul 19, 2023","7.069","7.101","7.101","7.056","0.18%"
"Jul 18, 2023","7.056","7.100","7.100","7.050","-0.25%"
"Jul 17, 2023","7.074","7.129","7.129","7.074","-0.08%"
"Jul 14, 2023","7.080","7.108","7.108","7.072","0.16%"
"Jul 13, 2023","7.069","7.148","7.148","7.067","-0.63%"
"Jul 12, 2023","7.114","7.126","7.137","7.101","0.20%"
"Jul 11, 2023","7.100","7.148","7.148","7.097","-0.78%"
"Jul 10, 2023","7.156","7.205","7.205","7.148","-0.08%"
"Jul 07, 2023","7.162","7.186","7.186","7.153","0.14%"
