"Date","Price","Open","High","Low","Change %"
"Jan 04, 2024","7.463","7.448","7.478","7.448","0.13%"
"Jan 03, 2024","7.453","7.459","7.487","7.445","0.07%"
"Jan 02, 2024","7.448","7.463","7.463","7.448","0.12%"
"Jan 01, 2024","7.439","7.475","7.475","7.439","0.39%"
"Dec 29, 2023","7.410","7.431","7.431","7.410","-0.26%"
"Dec 28, 2023","7.429","7.427","7.447","7.425","0.09%"
"Dec 27, 2023","7.422","7.427","7.427","7.409","0.09%"
"Dec 26, 2023","7.415","7.423","7.423","7.412","-0.03%"
"Dec 22, 2023","7.417","7.439","7.439","7.407","0.24%"
"Dec 21, 2023","7.399","7.380","7.407","7.370","0.34%"
"Dec 20, 2023","7.374","7.387","7.407","7.372","-0.09%"
"Dec 19, 2023","7.381","7.403","7.403","7.369","0.09%"
"Dec 18, 2023","7.374","7.407","7.419","7.374","-0.08%"
"Dec 15, 2023","7.380","7.431","7.431","7.378","-0.49%"
"Dec 14, 2023","7.416","7.471","7.471","7.403","-0.76%"
"Dec 13, 2023","7.473","7.500","7.500","7.472","-0.23%"
"Dec 12, 2023","7.490","7.502","7.502","7.487","-0.05%"
"Dec 11, 2023","7.494","7.529","7.544","7.494","0.01%"
"Dec 08, 2023","7.493","7.496","7.533","7.479","0.19%"
"Dec 07, 2023","7.479","7.500","7.500","7.475","-0.16%"
"Dec 06, 2023","7.491","7.504","7.504","7.479","-0.20%"
"Dec 05, 2023","7.506","7.570","7.570","7.505","-0.13%"
"Dec 04, 2023","7.516","7.528","7.536","7.515","-0.33%"
"Dec 01, 2023","7.541","7.528","7.553","7.528","0.56%"
"Nov 30, 2023","7.499","7.496","7.504","7.486","0.29%"
"Nov 29, 2023","7.477","7.479","7.487","7.475","-0.15%"
"Nov 28, 2023","7.488","7.486","7.499","7.471","0.12%"
"Nov 24, 2023","7.479","7.469","7.496","7.469","0.36%"
"Nov 23, 2023","7.452","7.475","7.479","7.445","0.04%"
"Nov 22, 2023","7.449","7.479","7.479","7.447","-0.08%"
"Nov 21, 2023","7.455","7.459","7.461","7.438","0.15%"
"Nov 20, 2023","7.444","7.431","7.459","7.430","0.39%"
"Nov 17, 2023","7.415","7.426","7.446","7.402","0.01%"
"Nov 16, 2023","7.414","7.422","7.429","7.402","0.00%"
"Nov 15, 2023","7.414","7.463","7.463","7.406","-0.68%"
"Nov 13, 2023","7.465","7.488","7.488","7.463","-0.16%"
"Nov 10, 2023","7.477","7.471","7.487","7.463","0.50%"
"Nov 09, 2023","7.440","7.434","7.445","7.426","0.01%"
"Nov 08, 2023","7.439","7.454","7.462","7.437","-0.13%"
"Nov 07, 2023","7.449","7.464","7.487","7.449","-0.19%"
"Nov 06, 2023","7.463","7.475","7.475","7.453","-0.12%"
"Nov 03, 2023","7.472","7.495","7.495","7.469","-0.20%"
"Nov 02, 2023","7.487","7.528","7.528","7.487","-0.53%"
"Nov 01, 2023","7.527","7.529","7.529","7.523","0.08%"
"Oct 31, 2023","7.521","7.540","7.540","7.521","-0.12%"
"Oct 30, 2023","7.530","7.530","7.532","7.527","0.04%"
"Oct 27, 2023","7.527","7.536","7.538","7.519","-0.27%"
"Oct 26, 2023","7.547","7.542","7.569","7.542","0.27%"
"Oct 25, 2023","7.527","7.556","7.556","7.520","-0.37%"
"Oct 23, 2023","7.555","7.564","7.569","7.552","0.17%"
"Oct 20, 2023","7.542","7.577","7.577","7.542","0.05%"
"Oct 19, 2023","7.538","7.581","7.581","7.538","0.19%"
"Oct 18, 2023","7.524","7.548","7.548","7.521","0.17%"
"Oct 17, 2023","7.511","7.527","7.527","7.510","-0.07%"
"Oct 16, 2023","7.516","7.526","7.535","7.515","0.08%"
"Oct 13, 2023","7.510","7.552","7.552","7.507","0.04%"
"Oct 12, 2023","7.507","7.540","7.540","7.507","-0.04%"
"Oct 11, 2023","7.510","7.560","7.560","7.507","-0.42%"
"Oct 10, 2023","7.542","7.548","7.566","7.540","-0.19%"
"Oct 09, 2023","7.556","7.560","7.618","7.556","0.17%"
"Oct 06, 2023","7.543","7.462","7.572","7.439","1.59%"
"Oct 05, 2023","7.425","7.446","7.446","7.423","-0.23%"
"Oct 04, 2023","7.442","7.469","7.469","7.438","0.04%"
"Oct 03, 2023","7.439","7.458","7.458","7.423","0.31%"
"Sep 29, 2023","7.416","7.446","7.446","7.402","-0.30%"
"Sep 28, 2023","7.438","7.354","7.450","7.339","1.13%"
"Sep 27, 2023","7.355","7.355","7.355","7.355","0.18%"
"Sep 26, 2023","7.342","7.365","7.365","7.342","0.19%"
"Sep 25, 2023","7.328","7.334","7.366","7.326","-0.15%"
"Sep 22, 2023","7.339","7.270","7.354","7.270","0.29%"
"Sep 21, 2023","7.318","7.366","7.366","7.318","-0.19%"
"Sep 20, 2023","7.332","7.350","7.350","7.328","-0.03%"
"Sep 18, 2023","7.334","7.354","7.370","7.334","-0.26%"
"Sep 15, 2023","7.353","7.342","7.364","7.306","0.78%"
"Sep 14, 2023","7.296","7.366","7.366","7.296","-0.69%"
"Sep 13, 2023","7.347","7.366","7.382","7.347","-0.20%"
"Sep 12, 2023","7.362","7.386","7.386","7.359","0.00%"
"Sep 11, 2023","7.362","7.380","7.410","7.362","0.42%"
"Sep 08, 2023","7.331","7.342","7.350","7.330","0.07%"
"Sep 07, 2023","7.326","7.346","7.346","7.326","-0.18%"
"Sep 06, 2023","7.339","7.366","7.374","7.335","0.11%"
"Sep 05, 2023","7.331","7.370","7.370","7.331","-0.12%"
"Sep 04, 2023","7.340","7.346","7.350","7.338","0.18%"
"Sep 01, 2023","7.327","7.348","7.348","7.326","-0.08%"
"Aug 31, 2023","7.333","7.350","7.350","7.333","-0.11%"
"Aug 30, 2023","7.341","7.326","7.370","7.326","0.12%"
"Aug 29, 2023","7.332","7.330","7.350","7.326","-0.08%"
"Aug 28, 2023","7.338","7.358","7.358","7.336","-0.19%"
"Aug 25, 2023","7.352","7.405","7.405","7.352","0.18%"
"Aug 24, 2023","7.339","7.350","7.378","7.335","-0.07%"
"Aug 23, 2023","7.344","7.370","7.370","7.344","-0.19%"
"Aug 22, 2023","7.358","7.409","7.409","7.358","-0.27%"
"Aug 21, 2023","7.378","7.425","7.425","7.378","-0.20%"
"Aug 18, 2023","7.393","7.441","7.441","7.393","-0.46%"
"Aug 17, 2023","7.427","7.454","7.454","7.427","0.46%"
"Aug 14, 2023","7.393","7.404","7.404","7.386","0.08%"
"Aug 11, 2023","7.387","7.387","7.405","7.384","0.52%"
"Aug 10, 2023","7.349","7.382","7.382","7.349","-0.39%"
"Aug 09, 2023","7.378","7.386","7.386","7.370","0.09%"
"Aug 08, 2023","7.371","7.398","7.398","7.371","-0.18%"
"Aug 07, 2023","7.384","7.386","7.390","7.370","-0.30%"
"Aug 04, 2023","7.406","7.414","7.454","7.390","0.09%"
"Aug 03, 2023","7.399","7.392","7.406","7.377","0.48%"
"Aug 02, 2023","7.364","7.376","7.376","7.358","0.10%"
"Aug 01, 2023","7.357","7.390","7.406","7.357","-0.16%"
