"Date","Price","Open","High","Low","Change %"
"Jan 04, 2024","7.353","7.363","7.363","7.352","0.07%"
"Jan 03, 2024","7.348","7.364","7.364","7.348","0.08%"
"Jan 02, 2024","7.342","7.362","7.362","7.341","0.10%"
"Jan 01, 2024","7.335","7.383","7.383","7.334","0.40%"
"Dec 29, 2023","7.306","7.352","7.352","7.306","-0.27%"
"Dec 28, 2023","7.326","7.340","7.346","7.325","0.14%"
"Dec 27, 2023","7.316","7.352","7.352","7.316","0.01%"
"Dec 26, 2023","7.315","7.340","7.340","7.309","-0.03%"
"Dec 22, 2023","7.317","7.327","7.334","7.312","0.22%"
"Dec 21, 2023","7.301","7.304","7.322","7.285","0.03%"
"Dec 20, 2023","7.299","7.304","7.308","7.291","0.16%"
"Dec 19, 2023","7.287","7.316","7.322","7.277","0.08%"
"Dec 18, 2023","7.281","7.304","7.322","7.281","-0.14%"
"Dec 15, 2023","7.291","7.353","7.353","7.291","-0.50%"
"Dec 14, 2023","7.328","7.384","7.384","7.324","-0.79%"
"Dec 13, 2023","7.386","7.413","7.413","7.383","-0.12%"
"Dec 12, 2023","7.395","7.409","7.409","7.392","-0.04%"
"Dec 11, 2023","7.398","7.415","7.415","7.394","0.22%"
"Dec 08, 2023","7.382","7.390","7.452","7.362","0.29%"
"Dec 07, 2023","7.361","7.384","7.390","7.361","-0.07%"
"Dec 06, 2023","7.366","7.395","7.395","7.366","-0.27%"
"Dec 05, 2023","7.386","7.415","7.415","7.386","-0.09%"
"Dec 04, 2023","7.393","7.427","7.427","7.393","-0.42%"
"Dec 01, 2023","7.424","7.421","7.430","7.418","0.80%"
"Nov 30, 2023","7.365","7.398","7.398","7.365","0.05%"
"Nov 29, 2023","7.361","7.372","7.385","7.341","-0.39%"
"Nov 28, 2023","7.390","7.398","7.398","7.380","0.65%"
"Nov 24, 2023","7.342","7.398","7.398","7.342","-0.16%"
"Nov 23, 2023","7.354","7.385","7.385","7.354","-0.01%"
"Nov 22, 2023","7.355","7.398","7.398","7.344","-0.20%"
"Nov 21, 2023","7.370","7.398","7.398","7.366","0.27%"
"Nov 20, 2023","7.350","7.359","7.398","7.340","0.34%"
"Nov 17, 2023","7.325","7.370","7.370","7.321","0.12%"
"Nov 16, 2023","7.316","7.356","7.356","7.316","-0.14%"
"Nov 15, 2023","7.326","7.360","7.360","7.326","-0.60%"
"Nov 13, 2023","7.370","7.398","7.398","7.370","-0.46%"
"Nov 10, 2023","7.404","7.372","7.404","7.372","0.75%"
"Nov 09, 2023","7.349","7.372","7.372","7.347","-0.54%"
"Nov 08, 2023","7.389","7.398","7.405","7.379","-0.01%"
"Nov 07, 2023","7.390","7.462","7.462","7.390","-0.27%"
"Nov 06, 2023","7.410","7.462","7.462","7.410","-0.11%"
"Nov 03, 2023","7.418","7.430","7.430","7.413","-0.27%"
"Nov 02, 2023","7.438","7.475","7.475","7.433","-0.21%"
"Nov 01, 2023","7.454","7.495","7.495","7.454","0.04%"
"Oct 31, 2023","7.451","7.495","7.495","7.451","-0.21%"
"Oct 30, 2023","7.467","7.495","7.495","7.467","0.17%"
"Oct 27, 2023","7.454","7.482","7.482","7.454","-0.25%"
"Oct 26, 2023","7.473","7.495","7.495","7.473","0.23%"
"Oct 25, 2023","7.456","7.469","7.469","7.456","0.22%"
"Oct 23, 2023","7.440","7.481","7.501","7.440","-0.04%"
"Oct 20, 2023","7.443","7.469","7.469","7.443","-0.03%"
"Oct 19, 2023","7.445","7.495","7.495","7.445","0.13%"
"Oct 18, 2023","7.435","7.495","7.495","7.435","0.31%"
"Oct 17, 2023","7.412","7.463","7.463","7.412","-0.23%"
"Oct 16, 2023","7.429","7.482","7.482","7.429","0.19%"
"Oct 13, 2023","7.415","7.461","7.461","7.415","0.22%"
"Oct 12, 2023","7.399","7.442","7.476","7.399","-0.08%"
"Oct 11, 2023","7.405","7.450","7.450","7.405","-0.52%"
"Oct 10, 2023","7.444","7.463","7.463","7.444","-0.29%"
"Oct 09, 2023","7.466","7.476","7.476","7.466","0.55%"
"Oct 06, 2023","7.425","7.410","7.450","7.386","1.46%"
"Oct 05, 2023","7.318","7.335","7.335","7.318","0.26%"
"Oct 04, 2023","7.299","7.385","7.386","7.299","0.05%"
"Oct 03, 2023","7.295","7.347","7.348","7.295","0.01%"
"Sep 29, 2023","7.294","7.294","7.300","7.294","-0.83%"
"Sep 28, 2023","7.355","7.285","7.355","7.278","1.00%"
"Sep 27, 2023","7.282","7.282","7.282","7.282","-0.05%"
"Sep 26, 2023","7.286","7.286","7.286","7.286","0.22%"
"Sep 25, 2023","7.270","7.287","7.287","7.270","0.14%"
"Sep 22, 2023","7.260","7.293","7.293","7.260","-0.25%"
"Sep 21, 2023","7.278","7.306","7.306","7.267","-0.18%"
"Sep 20, 2023","7.291","7.293","7.293","7.286","-0.11%"
"Sep 18, 2023","7.299","7.241","7.299","7.228","0.59%"
"Sep 15, 2023","7.256","7.241","7.280","7.241","0.46%"
"Sep 14, 2023","7.223","7.292","7.292","7.215","-1.28%"
"Sep 13, 2023","7.317","7.272","7.317","7.258","-0.15%"
"Sep 12, 2023","7.328","7.292","7.328","7.286","0.36%"
"Sep 11, 2023","7.302","7.302","7.302","7.302","0.84%"
"Sep 08, 2023","7.241","7.257","7.266","7.240","0.22%"
"Sep 07, 2023","7.225","7.266","7.266","7.225","-0.50%"
"Sep 06, 2023","7.261","7.292","7.292","7.259","0.57%"
"Sep 05, 2023","7.220","7.290","7.290","7.220","-0.28%"
"Sep 04, 2023","7.240","7.259","7.279","7.240","0.03%"
"Sep 01, 2023","7.238","7.227","7.253","7.227","0.10%"
"Aug 31, 2023","7.231","7.250","7.265","7.231","0.04%"
