"Date","Price","Open","High","Low","Change %"
"Jan 04, 2024","7.060","7.078","7.078","7.054","0.03%"
"Jan 03, 2024","7.058","7.091","7.091","7.058","-0.10%"
"Jan 02, 2024","7.065","7.085","7.085","7.065","-0.28%"
"Jan 01, 2024","7.085","7.103","7.103","7.068","0.07%"
"Dec 29, 2023","7.080","7.111","7.111","7.072","-0.20%"
"Dec 28, 2023","7.094","7.093","7.108","7.083","0.30%"
"Dec 27, 2023","7.073","7.091","7.091","7.073","-0.10%"
"Dec 26, 2023","7.080","7.114","7.114","7.080","0.23%"
"Dec 22, 2023","7.064","7.083","7.088","7.064","0.60%"
"Dec 21, 2023","7.022","7.072","7.106","7.022","-0.48%"
"Dec 20, 2023","7.056","7.075","7.075","7.056","-0.07%"
"Dec 19, 2023","7.061","7.078","7.078","7.059","0.09%"
"Dec 18, 2023","7.055","7.082","7.086","7.055","-0.04%"
"Dec 15, 2023","7.058","7.124","7.124","7.041","-0.72%"
"Dec 14, 2023","7.109","7.157","7.157","7.109","-1.18%"
"Dec 13, 2023","7.194","7.204","7.204","7.194","-0.21%"
"Dec 12, 2023","7.209","7.285","7.285","7.207","-0.19%"
"Dec 11, 2023","7.223","7.244","7.272","7.220","0.04%"
"Dec 08, 2023","7.220","7.233","7.266","7.219","-0.04%"
"Dec 07, 2023","7.223","7.252","7.252","7.223","0.03%"
"Dec 06, 2023","7.221","7.240","7.240","7.221","-0.21%"
"Dec 05, 2023","7.236","7.258","7.258","7.229","-0.21%"
"Dec 04, 2023","7.251","7.266","7.266","7.246","-0.29%"
"Dec 01, 2023","7.272","7.293","7.293","7.269","0.12%"
"Nov 30, 2023","7.263","7.268","7.268","7.259","0.17%"
"Nov 29, 2023","7.251","7.281","7.281","7.251","-0.40%"
"Nov 28, 2023","7.280","7.284","7.284","7.277","0.26%"
"Nov 24, 2023","7.261","7.282","7.282","7.261","0.14%"
"Nov 23, 2023","7.251","7.275","7.275","7.250","-0.01%"
"Nov 22, 2023","7.252","7.273","7.273","7.250","0.11%"
"Nov 21, 2023","7.244","7.215","7.267","7.215","0.35%"
"Nov 20, 2023","7.219","7.246","7.251","7.219","0.36%"
"Nov 17, 2023","7.193","7.216","7.216","7.188","0.03%"
"Nov 16, 2023","7.191","7.216","7.216","7.191","-0.19%"
"Nov 15, 2023","7.205","7.243","7.313","7.200","-0.62%"
"Nov 13, 2023","7.250","7.250","7.250","7.250","-0.12%"
"Nov 10, 2023","7.259","7.286","7.286","7.259","0.17%"
"Nov 09, 2023","7.247","7.369","7.369","7.247","0.30%"
"Nov 08, 2023","7.225","7.245","7.297","7.225","-0.37%"
"Nov 07, 2023","7.252","7.318","7.318","7.252","-0.12%"
"Nov 06, 2023","7.261","7.298","7.298","7.261","-0.34%"
"Nov 03, 2023","7.286","7.294","7.294","7.286","-0.05%"
"Nov 02, 2023","7.290","7.356","7.356","7.290","-0.71%"
"Nov 01, 2023","7.342","7.364","7.364","7.341","0.31%"
"Oct 31, 2023","7.319","7.331","7.331","7.311","-0.08%"
"Oct 30, 2023","7.325","7.356","7.356","7.325","0.05%"
"Oct 27, 2023","7.321","7.346","7.346","7.321","-0.30%"
"Oct 26, 2023","7.343","7.350","7.350","7.342","0.04%"
"Oct 25, 2023","7.340","7.342","7.342","7.340","-0.04%"
"Oct 23, 2023","7.343","7.383","7.383","7.343","0.26%"
"Oct 20, 2023","7.324","7.333","7.442","7.324","-0.23%"
"Oct 19, 2023","7.341","7.433","7.433","7.341","0.03%"
"Oct 18, 2023","7.339","7.384","7.384","7.339","0.25%"
"Oct 17, 2023","7.321","7.325","7.325","7.321","-0.05%"
"Oct 16, 2023","7.325","7.359","7.359","7.325","0.40%"
"Oct 13, 2023","7.296","7.350","7.350","7.286","-0.46%"
"Oct 12, 2023","7.330","7.360","7.360","7.330","0.25%"
"Oct 11, 2023","7.312","7.356","7.356","7.312","-0.34%"
"Oct 10, 2023","7.337","7.434","7.434","7.337","-0.46%"
"Oct 09, 2023","7.371","7.459","7.459","7.371","0.33%"
"Oct 06, 2023","7.347","7.352","7.400","7.347","0.84%"
"Oct 05, 2023","7.286","7.304","7.304","7.286","-0.23%"
"Oct 04, 2023","7.303","7.348","7.348","7.290","0.33%"
"Oct 03, 2023","7.279","7.314","7.557","7.261","0.32%"
"Sep 29, 2023","7.256","7.291","7.291","7.256","-0.23%"
"Sep 28, 2023","7.273","7.253","7.292","7.244","11.62%"
"Sep 27, 2023","6.516","6.516","6.516","6.516","-9.68%"
"Sep 26, 2023","7.214","7.269","7.269","7.214","1.29%"
"Sep 25, 2023","7.122","7.293","7.293","7.122","-1.11%"
"Sep 22, 2023","7.202","7.246","7.246","7.202","0.19%"
"Sep 21, 2023","7.188","7.213","7.213","7.152","-0.11%"
"Sep 20, 2023","7.196","7.304","7.304","7.190","-0.06%"
"Sep 18, 2023","7.200","7.238","7.248","7.195","0.42%"
"Sep 15, 2023","7.170","7.168","7.225","7.158","0.32%"
"Sep 14, 2023","7.147","7.156","7.169","7.134","-0.46%"
"Sep 13, 2023","7.180","7.203","7.250","7.180","-0.83%"
"Sep 12, 2023","7.240","7.274","7.274","7.236","0.68%"
"Sep 11, 2023","7.191","7.223","7.260","7.191","-0.12%"
"Sep 08, 2023","7.200","7.195","7.251","7.190","0.28%"
"Sep 07, 2023","7.180","7.206","7.206","7.180","-0.50%"
"Sep 06, 2023","7.216","7.239","7.244","7.206","0.46%"
"Sep 05, 2023","7.183","7.207","7.207","7.183","-0.01%"
"Sep 04, 2023","7.184","7.231","7.240","7.184","0.34%"
"Sep 01, 2023","7.160","7.161","7.184","7.156","0.72%"
"Aug 31, 2023","7.109","7.151","7.151","7.107","-0.24%"
"Aug 30, 2023","7.126","7.148","7.148","7.126","0.45%"
"Aug 29, 2023","7.094","7.173","7.173","7.094","-0.17%"
"Aug 28, 2023","7.106","7.163","7.163","7.106","0.08%"
"Aug 25, 2023","7.100","7.173","7.173","7.100","-0.24%"
"Aug 24, 2023","7.117","7.134","7.146","7.107","0.31%"
